,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36314,585,,,2020-04-02,2020-04-02,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,60,21
36315,623,,,2020-04-03,2020-04-03,Europe,JHU CSSE Global Timeseries,5,,HUN,Hungary,HU,38,26
36316,678,,,2020-04-04,2020-04-04,Europe,JHU CSSE Global Timeseries,6,,HUN,Hungary,HU,55,32
36317,733,,,2020-04-05,2020-04-05,Europe,JHU CSSE Global Timeseries,2,,HUN,Hungary,HU,55,34
36318,744,,,2020-04-06,2020-04-06,Europe,JHU CSSE Global Timeseries,4,,HUN,Hungary,HU,11,38
36319,817,,,2020-04-07,2020-04-07,Europe,JHU CSSE Global Timeseries,9,,HUN,Hungary,HU,73,47
36320,895,,,2020-04-08,2020-04-08,Europe,JHU CSSE Global Timeseries,11,,HUN,Hungary,HU,78,58
36321,980,,,2020-04-09,2020-04-09,Europe,JHU CSSE Global Timeseries,8,,HUN,Hungary,HU,85,66
36322,1190,,,2020-04-10,2020-04-10,Europe,JHU CSSE Global Timeseries,11,,HUN,Hungary,HU,210,77
36323,1310,,,2020-04-11,2020-04-11,Europe,JHU CSSE Global Timeseries,8,,HUN,Hungary,HU,120,85
36324,1410,,,2020-04-12,2020-04-12,Europe,JHU CSSE Global Timeseries,14,,HUN,Hungary,HU,100,99
36325,1458,,,2020-04-13,2020-04-13,Europe,JHU CSSE Global Timeseries,10,,HUN,Hungary,HU,48,109
36326,1512,,,2020-04-14,2020-04-14,Europe,JHU CSSE Global Timeseries,13,,HUN,Hungary,HU,54,122
36327,1579,,,2020-04-15,2020-04-15,Europe,JHU CSSE Global Timeseries,12,,HUN,Hungary,HU,67,134
36328,1652,,,2020-04-16,2020-04-16,Europe,JHU CSSE Global Timeseries,8,,HUN,Hungary,HU,73,142
36329,1763,,,2020-04-17,2020-04-17,Europe,JHU CSSE Global Timeseries,14,,HUN,Hungary,HU,111,156
36330,1834,,,2020-04-18,2020-04-18,Europe,JHU CSSE Global Timeseries,16,,HUN,Hungary,HU,71,172
36331,1916,,,2020-04-19,2020-04-19,Europe,JHU CSSE Global Timeseries,17,,HUN,Hungary,HU,82,189
36332,1984,,,2020-04-20,2020-04-20,Europe,JHU CSSE Global Timeseries,10,,HUN,Hungary,HU,68,199
36333,2098,,,2020-04-21,2020-04-21,Europe,JHU CSSE Global Timeseries,14,,HUN,Hungary,HU,114,213
36334,2168,,,2020-04-22,2020-04-22,Europe,JHU CSSE Global Timeseries,12,,HUN,Hungary,HU,70,225
36335,2284,,,2020-04-23,2020-04-23,Europe,JHU CSSE Global Timeseries,14,,HUN,Hungary,HU,116,239
36336,2443,,,2020-04-24,2020-04-24,Europe,JHU CSSE Global Timeseries,23,,HUN,Hungary,HU,159,262
36337,2443,,,2020-04-25,2020-04-25,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,262
36338,2500,,,2020-04-26,2020-04-26,Europe,JHU CSSE Global Timeseries,10,,HUN,Hungary,HU,57,272
36339,2583,,,2020-04-27,2020-04-27,Europe,JHU CSSE Global Timeseries,8,,HUN,Hungary,HU,83,280
36340,2649,,,2020-04-28,2020-04-28,Europe,JHU CSSE Global Timeseries,11,,HUN,Hungary,HU,66,291
36341,2727,,,2020-04-29,2020-04-29,Europe,JHU CSSE Global Timeseries,9,,HUN,Hungary,HU,78,300
36342,2775,,,2020-04-30,2020-04-30,Europe,JHU CSSE Global Timeseries,12,,HUN,Hungary,HU,48,312
36343,2863,,,2020-05-01,2020-05-01,Europe,JHU CSSE Global Timeseries,11,,HUN,Hungary,HU,88,323
36344,2942,,,2020-05-02,2020-05-02,Europe,JHU CSSE Global Timeseries,12,,HUN,Hungary,HU,79,335
36345,2998,,,2020-05-03,2020-05-03,Europe,JHU CSSE Global Timeseries,5,,HUN,Hungary,HU,56,340
36346,3035,,,2020-05-04,2020-05-04,Europe,JHU CSSE Global Timeseries,11,,HUN,Hungary,HU,37,351
36347,3065,,,2020-05-05,2020-05-05,Europe,JHU CSSE Global Timeseries,12,,HUN,Hungary,HU,30,363
